ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
0,0.9958052734,0.9953487045,-0.0004565689,0,0,0,0,0,0,0,
1,0.9856751512,0.985304189,-0.0003709622,0,0,0,0,0,0,0,
2,0.9962047711,0.9960050223,-0.0001997489,0,0,0,0,0,0,0,
3,0.9774854469,0.9768291291,-0.0006563178,0,0,0,0,0,0,0,
4,0.9723490469,0.9716071225,-0.0007419244,0,0,0,0,0,0,0,
5,0.9949492067,0.9943214245,-0.0006277822,0,0,0,0,0,0,0,
6,0.9802533957,0.9800821824,-0.0001712133,0,0,0,0,0,0,0,
7,0.9950918845,0.9947779934,-0.0003138911,0,0,0,0,0,0,0,
9,0.99666134,0.9960620934,-0.0005992467,0,0,0,0,0,0,0,
10,0.9940360689,0.9938933912,-0.0001426778,0,0,0,0,0,0,0,
11,0.9920671156,0.9914107979,-0.0006563178,0,0,0,0,0,0,0,
12,0.9967184111,0.9963759845,-0.0003424267,0,0,0,0,0,0,0,
13,0.9935509645,0.9932941445,-0.00025682,0,0,0,0,0,0,0,
15,0.99640452,0.9960050223,-0.0003994978,0,0,0,0,0,0,0,
16,0.9925236845,0.9923524712,-0.0001712133,0,0,0,0,0,0,0,
17,0.9929231823,0.9926948978,-0.0002282844,0,0,0,0,0,0,0,
20,0.9914964045,0.9908971579,-0.0005992467,0,0,0,0,0,0,0,
21,0.9504908116,0.9503766693,-0.0001141422,0,0,0,0,0,0,0,
22,0.9924095423,0.9920385801,-0.0003709622,0,0,0,0,0,0,0,
23,0.9787410113,0.9784556557,-0.0002853556,0,0,0,0,0,0,0,
24,0.9490925693,0.948664536,-0.0004280333,0,0,0,0,0,0,0,
25,0.9781988357,0.9781703002,-2.85355553018007E-05,0,0,0,0,0,0,0,
27,0.9869021801,0.9864170757,-0.0004851044,0,0,0,0,0,0,0,
28,0.9972605867,0.9971179089,-0.0001426778,0,0,0,0,0,0,0,
29,0.9861887912,0.9857322223,-0.0004565689,0,0,0,0,0,0,0,
32,0.992751969,0.9924380778,-0.0003138911,0,0,0,0,0,0,0,
33,0.9944926378,0.9938648556,-0.0006277822,0,0,0,0,0,0,0,
34,0.9964330556,0.9960050223,-0.0004280333,0,0,0,0,0,0,0,
35,0.9907830156,0.9903549823,-0.0004280333,0,0,0,0,0,0,0,
36,0.9949206712,0.9946923867,-0.0002282844,0,0,0,0,0,0,0,
37,0.9968040178,0.9962618423,-0.0005421756,0,0,0,0,0,0,0,
38,0.9948065289,0.9940931401,-0.0007133889,0,0,0,0,0,0,0,
39,0.9796541491,0.9794829357,-0.0001712133,0,0,0,0,0,0,0,
40,0.9702944869,0.9692386714,-0.0010558155,0,0,0,0,0,0,0,
41,0.9957767378,0.9955484534,-0.0002282844,0,0,0,0,0,0,0,
43,0.9948921356,0.9947209223,-0.0001712133,0,0,0,0,0,0,0,
44,0.9934938934,0.9932941445,-0.0001997489,0,0,0,0,0,0,0,
45,0.9936936423,0.9932085378,-0.0004851044,0,0,0,0,0,0,0,
46,0.9815374957,0.9810809268,-0.0004565689,0,0,0,0,0,0,0,
47,0.99666134,0.9964330556,-0.0002282844,0,0,0,0,0,0,0,
48,0.9965186623,0.9963759845,-0.0001426778,0,0,0,0,0,0,0,
50,0.9876726401,0.9873872846,-0.0002853556,0,0,0,0,0,0,0,
52,0.9967469467,0.9964901267,-0.00025682,0,0,0,0,0,0,0,
53,0.9938933912,0.9932085378,-0.0006848533,0,0,0,0,0,0,0,
54,0.9912966556,0.990954229,-0.0003424267,0,0,0,0,0,0,0,
55,0.991211049,0.9910969067,-0.0001141422,0,0,0,0,0,0,0,
56,0.9942072823,0.9938077845,-0.0003994978,0,0,0,0,0,0,0,
57,0.9951489556,0.9945211734,-0.0006277822,0,0,0,0,0,0,0,
59,0.9966898756,0.9964330556,-0.00025682,0,0,0,0,0,0,0,
60,0.9940931401,0.9938363201,-0.00025682,0,0,0,0,0,0,0,
61,0.9895845223,0.9892135601,-0.0003709622,0,0,0,0,0,0,0,
62,0.9883574934,0.9875584979,-0.0007989955,0,0,0,0,0,0,0,
